Medicine Name *,Type *,SKU,Strength *,Strength Unit *,Category,Store *,Cost Price *,Selling Price,Opening Stock,Barcode,Batch Number,Manufacturing Date,Expiry Date,Brand,Discount Eligible,Max Discount Type,Max Discount Value
Paracetamol 500mg,tablet,MED-001,500,mg,Analgesics,Main Pharmacy,5,6.25,10,8901100000001,BCH-2026-001,2025-01-01,2027-01-04,Getz,Yes,percentage,5
Amoxicillin 250mg,capsule,MED-002,250,mg,Antibiotics,Main Pharmacy,8,10.64,12,8901100000002,BCH-2026-002,2026-02-02,2029-02-05,Searle,No,,
Amoxicillin 500mg,capsule,MED-003,500,mg,Antihistamines,Main Pharmacy,11,15.51,14,8901100000003,BCH-2026-003,2025-03-03,2027-03-06,GSK,No,,
Cetirizine 10mg,tablet,MED-004,10,mg,Antacids,Main Pharmacy,14,20.86,16,8901100000004,BCH-2026-004,2026-04-04,2029-04-07,Abbott,No,,
Omeprazole 20mg,capsule,MED-005,20,mg,Cardiovascular,Main Pharmacy,17,26.69,18,8901100000005,BCH-2026-005,2025-05-05,2027-05-08,Hilton,Yes,percentage,5
Azithromycin 500mg,tablet,MED-006,500,mg,Diabetes,Main Pharmacy,20,25,20,8901100000006,BCH-2026-006,2026-06-06,2029-06-09,Sami,No,,
Metformin 500mg,tablet,MED-007,500,mg,Vitamins,Main Pharmacy,23,30.59,22,8901100000007,BCH-2026-007,2025-07-07,2027-07-10,Highnoon,No,,
Metformin 850mg,tablet,MED-008,850,mg,Respiratory,Main Pharmacy,22.5,31.72,24,8901100000008,BCH-2026-008,2026-08-08,2029-08-11,Martin Dow,No,,
Amlodipine 5mg,tablet,MED-009,5,mg,Dermatology,Main Pharmacy,25.5,37.99,26,8901100000009,BCH-2026-009,2025-09-09,2027-09-12,Pfizer,Yes,percentage,5
Amlodipine 10mg,tablet,MED-010,10,mg,Injectables,Main Pharmacy,28.5,44.75,28,8901100000010,BCH-2026-010,2026-10-10,2029-10-13,Novartis,No,,
Atorvastatin 10mg,tablet,MED-011,10,mg,Analgesics,Main Pharmacy,31.5,39.38,30,8901100000011,BCH-2026-011,2025-11-11,2027-11-14,Generic,No,,
Atorvastatin 20mg,tablet,MED-012,20,mg,Antibiotics,Main Pharmacy,34.5,45.89,32,8901100000012,BCH-2026-012,2026-12-12,2029-12-15,Getz,No,,
Losartan 50mg,tablet,MED-013,50,mg,Antihistamines,Main Pharmacy,37.5,52.88,34,8901100000013,BCH-2026-013,2025-01-13,2027-01-16,Searle,Yes,percentage,5
Losartan 100mg,tablet,MED-014,100,mg,Antacids,Main Pharmacy,40.5,60.34,36,8901100000014,BCH-2026-014,2026-02-14,2029-02-17,GSK,No,,
Ibuprofen 400mg,tablet,MED-015,400,mg,Cardiovascular,Main Pharmacy,40,62.8,38,8901100000015,BCH-2026-015,2025-03-15,2027-03-18,Abbott,No,,
Diclofenac 50mg,tablet,MED-016,50,mg,Diabetes,Main Pharmacy,43,53.75,40,8901100000016,BCH-2026-016,2026-04-16,2029-04-19,Hilton,No,,
Ciprofloxacin 500mg,tablet,MED-017,500,mg,Vitamins,Main Pharmacy,46,61.18,42,8901100000017,BCH-2026-017,2025-05-17,2027-05-20,Sami,Yes,percentage,5
Levofloxacin 500mg,tablet,MED-018,500,mg,Respiratory,Main Pharmacy,49,69.09,44,8901100000018,BCH-2026-018,2026-06-18,2029-06-21,Highnoon,No,,
Clarithromycin 250mg,tablet,MED-019,250,mg,Dermatology,Main Pharmacy,52,77.48,46,8901100000019,BCH-2026-019,2025-07-19,2027-07-22,Martin Dow,No,,
Doxycycline 100mg,capsule,MED-020,100,mg,Injectables,Main Pharmacy,55,86.35,48,8901100000020,BCH-2026-020,2026-08-20,2029-08-23,Pfizer,No,,
Pantoprazole 40mg,tablet,MED-021,40,mg,Analgesics,Main Pharmacy,58,72.5,50,8901100000021,BCH-2026-021,2025-09-21,2027-09-24,Novartis,Yes,percentage,5
Esomeprazole 40mg,capsule,MED-022,40,mg,Antibiotics,Main Pharmacy,57.5,76.48,52,8901100000022,BCH-2026-022,2026-10-22,2029-10-25,Generic,No,,
Ranitidine 150mg,tablet,MED-023,150,mg,Antihistamines,Main Pharmacy,60.5,85.3,54,8901100000023,BCH-2026-023,2025-11-23,2027-11-26,Getz,No,,
Domperidone 10mg,tablet,MED-024,10,mg,Antacids,Main Pharmacy,63.5,94.61,56,8901100000024,BCH-2026-024,2026-12-24,2029-12-27,Searle,No,,
Ondansetron 8mg,tablet,MED-025,8,mg,Cardiovascular,Main Pharmacy,66.5,104.41,58,8901100000025,BCH-2026-025,2025-01-25,2027-01-28,GSK,Yes,percentage,5
Montelukast 10mg,tablet,MED-026,10,mg,Diabetes,Main Pharmacy,69.5,86.88,60,8901100000026,BCH-2026-026,2026-02-26,2029-02-28,Abbott,No,,
Salbutamol 100mcg,inhaler,MED-027,100,mcg,Vitamins,Main Pharmacy,72.5,96.43,62,8901100000027,BCH-2026-027,2025-03-27,2027-03-28,Hilton,No,,
Budesonide 200mcg,inhaler,MED-028,200,mcg,Respiratory,Main Pharmacy,75.5,106.45,64,8901100000028,BCH-2026-028,2026-04-01,2029-04-04,Sami,No,,
Loratadine 10mg,tablet,MED-029,10,mg,Dermatology,Main Pharmacy,75,111.75,66,8901100000029,BCH-2026-029,2025-05-02,2027-05-05,Highnoon,Yes,percentage,5
Fexofenadine 120mg,tablet,MED-030,120,mg,Injectables,Main Pharmacy,78,122.46,68,8901100000030,BCH-2026-030,2026-06-03,2029-06-06,Martin Dow,No,,
Prednisolone 5mg,tablet,MED-031,5,mg,Analgesics,Main Pharmacy,81,101.25,70,8901100000031,BCH-2026-031,2025-07-04,2027-07-07,Pfizer,No,,
Dexamethasone 0.5mg,tablet,MED-032,0.5,mg,Antibiotics,Main Pharmacy,84,111.72,72,8901100000032,BCH-2026-032,2026-08-05,2029-08-08,Novartis,No,,
Aspirin 75mg,tablet,MED-033,75,mg,Antihistamines,Main Pharmacy,87,122.67,74,8901100000033,BCH-2026-033,2025-09-06,2027-09-09,Generic,Yes,percentage,5
Clopidogrel 75mg,tablet,MED-034,75,mg,Antacids,Main Pharmacy,90,134.1,76,8901100000034,BCH-2026-034,2026-10-07,2029-10-10,Getz,No,,
Warfarin 5mg,tablet,MED-035,5,mg,Cardiovascular,Main Pharmacy,93,146.01,78,8901100000035,BCH-2026-035,2025-11-08,2027-11-11,Searle,No,,
Furosemide 40mg,tablet,MED-036,40,mg,Diabetes,Main Pharmacy,92.5,115.63,80,8901100000036,BCH-2026-036,2026-12-09,2029-12-12,GSK,No,,
Spironolactone 25mg,tablet,MED-037,25,mg,Vitamins,Main Pharmacy,95.5,127.02,82,8901100000037,BCH-2026-037,2025-01-10,2027-01-13,Abbott,Yes,percentage,5
Glibenclamide 5mg,tablet,MED-038,5,mg,Respiratory,Main Pharmacy,98.5,138.88,84,8901100000038,BCH-2026-038,2026-02-11,2029-02-14,Hilton,No,,
Gliclazide 80mg,tablet,MED-039,80,mg,Dermatology,Main Pharmacy,101.5,151.23,86,8901100000039,BCH-2026-039,2025-03-12,2027-03-15,Sami,No,,
Sitagliptin 50mg,tablet,MED-040,50,mg,Injectables,Main Pharmacy,104.5,164.06,88,8901100000040,BCH-2026-040,2026-04-13,2029-04-16,Highnoon,No,,
Insulin Regular 100IU,injection,MED-041,100,IU,Analgesics,Main Pharmacy,7.5,9.38,90,8901100000041,BCH-2026-041,2025-05-14,2027-05-17,Martin Dow,Yes,percentage,5
Ceftriaxone 1g,injection,MED-042,1,g,Antibiotics,Main Pharmacy,10.5,13.96,92,8901100000042,BCH-2026-042,2026-06-15,2029-06-18,Pfizer,No,,
Cefixime 400mg,capsule,MED-043,400,mg,Antihistamines,Main Pharmacy,10,14.1,94,8901100000043,BCH-2026-043,2025-07-16,2027-07-19,Novartis,No,,
Linezolid 600mg,tablet,MED-044,600,mg,Antacids,Main Pharmacy,13,19.37,96,8901100000044,BCH-2026-044,2026-08-17,2029-08-20,Generic,No,,
Metronidazole 400mg,tablet,MED-045,400,mg,Cardiovascular,Main Pharmacy,16,25.12,98,8901100000045,BCH-2026-045,2025-09-18,2027-09-21,Getz,Yes,percentage,5
Tinidazole 500mg,tablet,MED-046,500,mg,Diabetes,Main Pharmacy,19,23.75,100,8901100000046,BCH-2026-046,2026-10-19,2029-10-22,Searle,No,,
Vitamin D3 50000IU,capsule,MED-047,50000,IU,Vitamins,Main Pharmacy,22,29.26,102,8901100000047,BCH-2026-047,2025-11-20,2027-11-23,GSK,No,,
Vitamin B12 1000mcg,injection,MED-048,1000,mcg,Respiratory,Main Pharmacy,25,35.25,104,8901100000048,BCH-2026-048,2026-12-21,2029-12-24,Abbott,No,,
